#,Title,Channel,Duration,Words,Topic,Score,Reason
183,Your Car Payment Is Stealing Your Retirement (The Math They Don't Show You),WhiteBoard Finance,22min est,4458,AI & Machine Learning,6.0,Medium signal (score 6.0). Topic: AI & Machine Learning
184,Why The U.S. Economy Has Not Collapsed Yet,Andrei Jikh,21min est,4330,AI & Machine Learning,6.0,Medium signal (score 6.0). Topic: AI & Machine Learning
185,How Much Car Can You Actually Afford? (By Salary),WhiteBoard Finance,18min est,3661,AI & Machine Learning,6.0,Medium signal (score 6.0). Topic: AI & Machine Learning
186,How an A note became an A note,Vox,17min est,3564,AI & Machine Learning,6.0,Medium signal (score 6.0). Topic: AI & Machine Learning
187,"Asia's ""hidden"" country ZOMIA...explained",Geography Now,17min est,3540,AI & Machine Learning,6.0,Medium signal (score 6.0). Topic: AI & Machine Learning
188,9 MAJOR Money Moves To Make In Your 30s (Wealthy By 40),WhiteBoard Finance,17min est,3511,AI & Machine Learning,6.0,Medium signal (score 6.0). Topic: AI & Machine Learning
189,America’s Paper Economy Is Breaking,Andrei Jikh,17min est,3489,AI & Machine Learning,6.0,Medium signal (score 6.0). Topic: AI & Machine Learning
190,This Psychological Money Trap Is Keeping You POOR!,WhiteBoard Finance,17min est,3431,AI & Machine Learning,6.0,Medium signal (score 6.0). Topic: AI & Machine Learning
191,Are Hungarians...ASIANS?,Geography Now,17min est,3410,AI & Machine Learning,6.0,Medium signal (score 6.0). Topic: AI & Machine Learning
192,We Need To Talk About Relationship Privilege,Financial Diet,16min est,3356,AI & Machine Learning,6.0,Medium signal (score 6.0). Topic: AI & Machine Learning
193,"The hidden ""country"" of CAUCASIA explained",Geography Now,15min est,3094,AI & Machine Learning,6.0,Medium signal (score 6.0). Topic: AI & Machine Learning
194,The Exact Order To Invest Your Money (Most People Get This Wrong),WhiteBoard Finance,15min est,3049,AI & Machine Learning,6.0,Medium signal (score 6.0). Topic: AI & Machine Learning
195,Why couldn't the Mongols conquer Japan? (Short Animated Documentary),History Matters,10min est,2148,AI & Machine Learning,6.0,Medium signal (score 6.0). Topic: AI & Machine Learning
196,Why didn't the US focus on Japan first in WW2? (Short Animated Documentary),History Matters,9min est,1979,AI & Machine Learning,6.0,Medium signal (score 6.0). Topic: AI & Machine Learning
197,The end of birthright citizenship as we know it?,Vox,7min est,1535,AI & Machine Learning,6.0,Medium signal (score 6.0). Topic: AI & Machine Learning
198,The Story You’re Not Hearing About AI Data Centers | Ayșe Coskun | TED,TED,7min est,1531,AI & Machine Learning,4.8,Medium signal (score 4.8). Topic: AI & Machine Learning
199,How to Change Someone’s Perspective | Buenos Aires | TED Idea Search,TED,30min est,6049,AI & Machine Learning,4.0,Medium signal (score 4.0). Topic: AI & Machine Learning
200,The New Science of Eyewitness Memory | John Wixted | TED,TED,13min est,2641,AI & Machine Learning,4.0,Medium signal (score 4.0). Topic: AI & Machine Learning
201,Jermaine Dupri on the Art of Making a Hit | On the Spot | TED,TED,9min est,1870,AI & Machine Learning,4.0,Medium signal (score 4.0). Topic: AI & Machine Learning
202,Stock Market Maestros: How Top Fund Managers Beat the Market w/ Kyle Grieve (TIP805),We Study Billionaires,62min est,12442,Finance & Crypto,3.5,Standard import. Topic: Finance & Crypto
203,"Tesla and SpaceX Alumni on Elon Musk, Decision Velocity, and the Future of Hard Tech | a16z",Andreessen Horowitz,56min est,11338,Space & Aerospace,3.5,Standard import. Topic: Space & Aerospace
204,"How To Boost NAD Levels To Fight Inflammation, Improve Recovery, and Slow Aging",Rhonda Patrick,85min est,17135,AI & Machine Learning,3.2,Standard import. Topic: AI & Machine Learning
205,How Omega-3s May Slow Biological Aging (New Evidence),Rhonda Patrick,65min est,13095,AI & Machine Learning,3.2,Standard import. Topic: AI & Machine Learning
206,"Dr. Rhonda Patrick: Maximizing Healthspan with Exercise, Sauna, & Cold Exposure",Rhonda Patrick,83min est,16753,Health & Longevity,3.0,Standard import. Topic: Health & Longevity
207,Kinsale Capital Stock Deep Dive w/ Clay Finck & Daniel Mahncke (TIP804),We Study Billionaires,67min est,13481,Technology & Software,3.0,Standard import. Topic: Technology & Software
208,Inside The $100M Bet on the Future of Space | Northwood CEO on a16z,Andreessen Horowitz,37min est,7525,Space & Aerospace,3.0,Standard import. Topic: Space & Aerospace
209,🚨 WARNING: Bitcoin’s Next Move Could Catch Everyone Off Guard,DataDash,35min est,7124,Geopolitics & World Affairs,3.0,Standard import. Topic: Geopolitics & World Affairs
210,A guide to cardiorespiratory training at any fitness level to improve longevity (AMA 79 sneak peek),Peter Attia,31min est,6385,Health & Longevity,3.0,Standard import. Topic: Health & Longevity
211,Why is China abandoning Iran? @visualpolitik,VisualPolitik,17min est,3420,Geopolitics & World Affairs,3.0,Standard import. Topic: Geopolitics & World Affairs
212,Where Trump’s Tariff Rates Are Headed,CNBC,3min est,690,Geopolitics & World Affairs,3.0,Standard import. Topic: Geopolitics & World Affairs
213,How The Iran War Is Being Fought Through Memes,CNBC,2min est,437,Geopolitics & World Affairs,3.0,Standard import. Topic: Geopolitics & World Affairs
214,"How Bots, Deepfakes and AI Agents Are Forcing a New Internet Identity Layer | Alex Blania on a16z",Andreessen Horowitz,41min est,8259,AI & Machine Learning,2.8,Standard import. Topic: AI & Machine Learning
215,How to Reorg After AI Changes Everything | Block's Owen Jennings on the a16z Show,Andreessen Horowitz,27min est,5414,AI & Machine Learning,2.8,Standard import. Topic: AI & Machine Learning
216,Two Philosophers on How AI Will Change Everyday Life,Sam Harris,14min est,2808,AI & Machine Learning,2.8,Standard import. Topic: AI & Machine Learning
217,The Best Vitality & Health Protocols | Dr. Rhonda Patrick,Huberman Lab,216min est,43327,Health & Longevity,2.5,Standard import. Topic: Health & Longevity
218,"Why Bitcoin Is Digital Gold, Not Digital Cash | Balaji Srinivasan on The a16z Show",Andreessen Horowitz,62min est,12400,Finance & Crypto,2.5,Standard import. Topic: Finance & Crypto
219,Value Investing Meets Venture Capital w/ Kyle Grieve (TIP801),We Study Billionaires,59min est,11885,Technology & Software,2.5,Standard import. Topic: Technology & Software
220,"""Coding Will Eat All Knowledge Work"" | Peter Yang on The a16z Show",Andreessen Horowitz,38min est,7668,Technology & Software,2.5,Standard import. Topic: Technology & Software
221,TAIWÁN y EEUU sellan un pacto HISTÓRICO contra CHINA @VisualPolitik,VisualPolitik,20min est,4191,Geopolitics & World Affairs,2.5,Standard import. Topic: Geopolitics & World Affairs
222,SIN FRENO EN IRÁN: ¿Se rompe el PLAN de TRUMP? @VisualPolitik,VisualPolitik,20min est,4182,Geopolitics & World Affairs,2.5,Standard import. Topic: Geopolitics & World Affairs
223,Leveraged XRP ETFs Explained,CoinDesk,9min est,1945,Finance & Crypto,2.5,Standard import. Topic: Finance & Crypto
224,I meal prepped 46 boring lunches to be healthier,Matt D'Avella,8min est,1789,Health & Longevity,2.5,Standard import. Topic: Health & Longevity
225,"How Early Training Choices Shape Women’s Health for Life | Abbie Smith-Ryan, Ph.D.",Peter Attia,6min est,1205,Health & Longevity,2.5,Standard import. Topic: Health & Longevity
226,How Companies Have Fared One Year After Tariffs,CNBC,2min est,562,Geopolitics & World Affairs,2.5,Standard import. Topic: Geopolitics & World Affairs
227,Love is Alive? Hidden twist and Easter eggs from You season 3 Netflix | Video essay English |,Deep Look,1min est,265,Finance & Crypto,2.5,Standard import. Topic: Finance & Crypto
228,How To Build Lasting Happiness | Dr. Arthur Brooks,Rhonda Patrick,170min est,34128,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
229,"The Modern Middle East, Explained",Johnny Harris,143min est,28661,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
230,Why Vigorous Exercise Is 4–10x More Effective Than Moderate (New Evidence),Rhonda Patrick,136min est,27256,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
231,Why That Pesky Last 10 Pounds Won’t Come Off | Mind Pump 2829,Mind Pump Show,131min est,26208,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
232,How to Cultivate Awe & Emotional Connection in Daily Life | Dr. Dacher Keltner,Huberman Lab,128min est,25677,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
233,How Hormones Shape Sexual Orientation & Behavior | Dr. Marc Breedlove,Huberman Lab,117min est,23451,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
234,380 ‒ The seed oil debate: are they uniquely harmful relative to other dietary fats?,Peter Attia,116min est,23342,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
235,The Least Amount You Can Train and Still See Results | Mind Pump 2826,Mind Pump Show,114min est,22892,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
236,Notion feels incomplete without this note-taking setup,Thomas Frank,99min est,19945,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
237,Modern physics is forcing us to rethink existence | Michelle Thaller: Full Interview,Big Think,77min est,15509,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
238,The “Goldilocks Zone” - Build Muscle WITHOUT Bulking or Cutting | Mind Pump 2828,Mind Pump Show,75min est,15080,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
239,Financial Engineering & Fake Value: Lessons from the Go-Go Years (TIP802),We Study Billionaires,61min est,12392,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
240,How Art & Economics Build Wealth w/ Kyle Grieve (TIP803),We Study Billionaires,60min est,12177,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
241,The bizarre phenomena that medicine struggles to explain | David Linden: Full Interview,Big Think,48min est,9650,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
242,Is Fascism Back?,Johnny Harris,46min est,9243,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
243,"If I Started YouTube from Scratch in 2026, I’d do THIS",Ali Abdaal,45min est,9056,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
244,Talking news and media with Max Fisher,Johnny Harris,43min est,8712,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
245,I thought time tracking in Notion was impossible until I figured this out,Thomas Frank,40min est,8143,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
246,I can't believe how well this Notion daily planner helps me focus,Thomas Frank,38min est,7666,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
247,"Essentials: How to Build Strength, Muscle Size & Endurance | Dr. Andy Galpin",Huberman Lab,35min est,7170,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
248,Is Effective Altruism Blind to the Biggest Problems? – Sam Harris & Will MacAskill,Sam Harris,29min est,5827,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
249,Using Salt to Optimize Mental & Physical Performance | Huberman Lab Essentials,Huberman Lab,28min est,5780,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
250,The psychology of making money,Ali Abdaal,28min est,5714,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
251,You’re Not Failing Your Diet… Your Diet Is Failing You | Mind Pump 2827,Mind Pump Show,26min est,5393,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
252,Brutally Honest Truth On How To Get Rich,Ali Abdaal,24min est,4980,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
253,The Best Push Pull Legs Program For Building Muscle (MAPS PPL) | Mind Pump 2830,Mind Pump Show,23min est,4695,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
254,This is why your task manager overwhelms you.,Thomas Frank,22min est,4595,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
255,How I'd Create Content in 2026 (If I Had To Start Over),Ali Abdaal,22min est,4536,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
256,10 Rules to Read More Books This Year,Ali Abdaal,20min est,4091,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
257,EEUU va a por el ORO de VENEZUELA (y puede acabar MUY mal) @VisualPolitik,VisualPolitik,19min est,3985,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
258,Runway Numbers Explained,CGP Grey,18min est,3643,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
259,The Los Angeles Aqueduct is Wild,Practical Engineering,17min est,3548,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
260,Notion's new Dashboards: Everything you need to know,Thomas Frank,17min est,3442,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
261,How to make more money (even if you're dumb),Better Ideas,16min est,3337,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
262,So You Want to Build a Tunnel...,Practical Engineering,16min est,3298,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
263,Do Retention Ponds Actually Work?,Practical Engineering,14min est,2972,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
264,I tried zone 2 training for 30 days (what I learned),Matt D'Avella,14min est,2920,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
265,How Earthquake Bearings Work,Practical Engineering,14min est,2909,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
266,The Hidden Engineering of Runways,Practical Engineering,14min est,2907,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
267,6 things that quickly cured my procrastination,Better Ideas,14min est,2896,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
268,The most life-changing advice I ever got,Matt D'Avella,13min est,2617,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
269,The water bottle trend has gone too far,Matt D'Avella,13min est,2611,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
270,This is how to unf*** your life in one year,Better Ideas,12min est,2596,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
271,The laziness cure you don't want to hear,Better Ideas,11min est,2237,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
272,The biggest self-help lie,Matt D'Avella,10min est,2196,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
273,"Cooking with Lard vs Seed Oils | Layne Norton, Ph.D.",Peter Attia,10min est,2084,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
274,Your life's greatest chapter begins now,Better Ideas,10min est,2050,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
275,Nobody Knows How Tylenol Works,Half as Interesting,8min est,1658,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
276,The Terrible Design of the US Mail Truck,Half as Interesting,8min est,1652,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
277,The International Airport That Can Only Send Flights to Turkey,Half as Interesting,8min est,1650,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
278,Ask a better question: Who Not How by Dan Sullivan & Dr. Benjamin Hardy | Core Message,Productivity Game,7min est,1560,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
279,Body Language 101: The Science of Mirroring,Improvement Pill,7min est,1539,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
280,The Highway Loophole That Created The Worst Town in America,Half as Interesting,7min est,1519,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
281,Nickels Cost More to Make Than They're Worth,CGP Grey,7min est,1488,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
282,Why You Shouldn't Second Guess Your Decisions,Improvement Pill,7min est,1472,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
283,"If You Always Assume You're Being Lied To, You'll Believe Anything",Sam Harris,7min est,1442,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
284,The Courage To Be Disliked,Improvement Pill,7min est,1405,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
285,"Is Industrial Processing the Real Problem With Seed Oils? | Layne Norton, Ph.D.",Peter Attia,6min est,1388,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
286,Stop Obsessing Over Your Crush,Improvement Pill,6min est,1358,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
287,This Workout Protects Your Brain For Years,Tim Ferriss,6min est,1283,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
288,SPEED READING by Kam Knight | Core Message,Productivity Game,6min est,1280,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
289,Make people feel heard (build better relationships): HOW TO LISTEN WITH INTENTION by Patrick King,Productivity Game,6min est,1265,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
290,How To Avoid Getting Ghosted,Improvement Pill,6min est,1218,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
291,The Crazy-Fast Logistics of Flower Distribution,Half as Interesting,5min est,1098,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
292,itélé.mp4,Tom Nash,5min est,1044,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
293,Robert Herjavec: The hidden reason smart people stop growing | Big Think+,Big Think,5min est,1035,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
294,10 Most Heartbreaking Moments from Kuch Rang Pyar ke Aise bhi  |Shaheer & Erica | krpkab |,Deep Look,5min est,1022,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
295,Is The Penny *Finally* Dead?,CGP Grey,4min est,847,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
296,Kuch rang pyar ke aise bhi - An Indian Show that can beat Hollywood |Video Essay| Shaheer & Erica|,Deep Look,4min est,830,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
297,How Thorne Became One Of Gen Z's Favorite Wellness Brands,CNBC,3min est,644,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
298,Toxic positivity is corrupting America | Kate Bowler,Big Think,2min est,541,AI & Machine Learning,2.0,Standard import. Topic: AI & Machine Learning
